Data from Klebanoff, NACA Report 1247, Forty-First Annual Report, 1955
Digitized 8 Jan 1996 by JHMorrison
     Re    = 4.2 x 10^6  = Reynolds number
     delta = 3in.        = boundary layer thickness at measuring station
     U_1   = 50 ft./sec. = mean velocity in freestream

Figure 3. Mean velocity distribution.
            y, in.        U/U_i
    1   4.072684E-03   1.418432E-01    -- from insert figure: 0 < y < .06in. --
    2   4.748526E-03   1.639010E-01
    3   7.240318E-03   2.236684E-01
    4   8.565556E-03   2.535396E-01
    5   9.561689E-03   2.771301E-01
    6   1.072237E-02   3.038608E-01
    7   1.183898E-02   3.068509E-01
    8   1.250013E-02   3.209951E-01
    9   1.317302E-02   3.414702E-01
   10   1.788923E-02   4.024695E-01
   11   2.175914E-02   4.351052E-01
   12   2.704540E-02   4.611846E-01
   13   2.897008E-02   4.719629E-01
   14   3.760323E-02   5.054296E-01
   15   4.718841E-02   5.387460E-01
    1   3.954581E-02   5.204472E-01    -- from main figure: 0 < y < 3.2in. --
    2   5.309323E-02   5.473575E-01
    3   7.601795E-02   5.710406E-01
    4   1.181219E-01   6.009664E-01
    5   1.538506E-01   6.293403E-01
    6   2.149215E-01   6.591603E-01
    7   3.173534E-01   6.966864E-01
    8   5.183654E-01   7.511241E-01
    9   7.124706E-01   7.881390E-01
   10   9.094719E-01   8.172006E-01
   11   1.208108E+00   8.599820E-01
   12   1.493993E+00   8.996597E-01
   13   1.798793E+00   9.376444E-01
   14   2.084253E+00   9.646253E-01
   15   2.391683E+00   9.867212E-01
   16   2.683094E+00   1.002557E+00
   17   2.835042E+00   1.008059E+00
   18   3.135512E+00   1.011145E+00

Figure 4. Distribution of turbulence intensities.
          y/delta       u'/U_i
    1   1.561942E-03   6.035938E-02    -- from insert figure --
    2   1.690574E-03   7.430843E-02
    3   2.074627E-03   8.372231E-02
    4   2.635058E-03   8.762637E-02
    5   2.788361E-03   9.152166E-02
    6   4.143952E-03   1.032268E-01
    7   4.785008E-03   1.074569E-01
    8   6.487784E-03   1.104126E-01
    9   8.275163E-03   1.120727E-01
   10   1.456641E-02   1.034512E-01
   11   2.136530E-02   8.705661E-02
    1   1.619516E-02   8.641671E-02    -- from main figure   --
    2   3.135185E-02   7.962783E-02
    3   7.591016E-02   7.463298E-02
    4   1.269296E-01   7.125936E-02
    5   1.367558E-01   7.142587E-02
    6   2.273389E-01   6.434950E-02
    7   2.487648E-01   6.241802E-02
    8   2.914919E-01   6.065854E-02
    9   3.210279E-01   6.018726E-02
   10   4.016697E-01   5.488607E-02
   11   4.246965E-01   5.360259E-02
   12   4.888687E-01   4.958802E-02
   13   4.904504E-01   5.055966E-02
   14   5.827113E-01   4.283682E-02
   15   6.107423E-01   4.009944E-02
   16   6.535366E-01   3.720731E-02
   17   6.534502E-01   3.866360E-02
   18   7.822360E-01   2.319124E-02
   19   8.893560E-01   1.369560E-02
   20   1.002899E+00   6.468412E-03
   21   1.153867E+00   3.951746E-03
   22   1.331044E+00   1.771256E-03

          y/delta       v'/U_i
    1   1.718263E-02   3.280314E-02    -- from insert figure --
    2   2.043726E-02   3.384623E-02
    1   1.116596E-02   3.301601E-02    -- from main figure   --
    2   1.761755E-02   3.479904E-02
    3   3.392404E-02   3.626316E-02
    4   9.934201E-02   3.888352E-02
    5   2.271969E-01   3.910660E-02
    6   2.960758E-01   3.865416E-02
    7   3.930049E-01   3.514071E-02
    8   4.963760E-01   3.357213E-02
    9   5.062982E-01   3.212055E-02
   10   5.226718E-01   3.245202E-02
   11   6.773312E-01   2.297916E-02
   12   6.936281E-01   2.460510E-02
   13   7.232409E-01   2.283935E-02
   14   7.939702E-01   1.882792E-02
   15   8.417014E-01   1.561452E-02
   16   1.011066E+00   6.957765E-03
   17   1.173567E+00   3.475745E-03
   18   1.344110E+00   2.586583E-03

          y/delta       w'/U_i
    1   1.442319E-02   6.225792E-02    -- from insert figure --
    2   2.125894E-02   6.402677E-02
    1   7.789496E-03   6.230256E-02    -- from main figure   --
    2   1.425067E-02   6.392378E-02
    3   2.099018E-02   6.085255E-02
    4   3.758461E-02   5.746242E-02
    5   9.028176E-02   5.344236E-02
    6   1.214570E-01   5.297186E-02
    7   1.888022E-01   5.073875E-02
    8   2.511335E-01   5.012136E-02
    9   3.184403E-01   4.853548E-02
   10   3.858239E-01   4.565512E-02
   11   4.498905E-01   4.342044E-02
   12   5.502422E-01   3.748144E-02
   13   6.555214E-01   3.138300E-02
   14   7.493638E-01   2.463180E-02
   15   8.201507E-01   1.964952E-02
   16   8.498403E-01   1.658930E-02
   17   9.502496E-01   9.679451E-03
   18   1.048876E+00   5.195945E-03
   19   1.155496E+00   4.114340E-03
   20   1.242484E+00   2.376075E-03
   21   1.347476E+00   1.131876E-03


Figure 5. Distribution of turbulent shearing stress
          y/delta      2 u'v'/U_i^2
    1   3.249330E-02   2.807245E-03
    2   1.048391E-01   2.744447E-03
    3   2.036203E-01   2.480665E-03
    4   2.315254E-01   2.521650E-03
    5   2.991153E-01   2.216806E-03
    6   3.963400E-01   1.832020E-03
    7   4.620670E-01   1.833580E-03
    8   5.131789E-01   1.592861E-03
    9   5.312363E-01   1.617483E-03
   10   6.285596E-01   1.095604E-03
   11   6.780283E-01   8.548447E-04
   12   7.257960E-01   6.946895E-04
   13   7.949886E-01   4.463343E-04
   14   8.427446E-01   3.023077E-04
   15   8.937989E-01   1.422316E-04
   16   9.595777E-01   7.121285E-05
   17   1.012183E+00   4.020415E-05
   18   1.122286E+00   2.668982E-05
   19   1.174874E+00   1.987413E-05
   20   1.330975E+00   1.987413E-05
